"id","ICAO","IATA","Name","WTC","fileType","yrtext","season","year","phase","hasWTC","mean","median","p10","p90","stDev"
15,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","12W","Winter","12","Out",FALSE,22,18,11,38,14
10,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","13S","Summer","13","In",FALSE,10,9,6,14,4
14,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","13S","Summer","13","Out",FALSE,19,18,13,26,8
12,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","13W","Winter","13","In",FALSE,11,10,6,15,5
16,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"pdf","13W","Winter","13","Out",FALSE,24,20,13,44,18
1,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","14S","Summer","14","In",FALSE,10.6133518776078,10,7,15,4.71569441548338
2,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","14S","Summer","14","Out",FALSE,19.412013536379,18,14,26,6.30796501496323
10,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","14W","Winter","14","In",FALSE,11.5409582689335,11,7,15,5.83965490270055
23,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","14W","Winter","14","Out",FALSE,24.1986970684039,20,14,41,13.3871423770375
4,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","15S","Summer","15","In",FALSE,10.5536903039074,10,7,15,4.21256944151002
11,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","15S","Summer","15","Out",FALSE,19.1928739693757,18,14,25,6.75004320173943
7,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","15W","Winter","15","In",FALSE,10.9499284692418,10,7,15,4.06166630058746
14,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","15W","Winter","15","Out",FALSE,22.4022222222222,20,15,35,10.1005542396254
5,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","16S","Summer","16","In",FALSE,11.7391190351337,11,7,17,5.25198808260414
12,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","16S","Summer","16","Out",FALSE,20.2478586723769,19,14,27,6.74401877633234
8,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","16W","Winter","16","In",FALSE,11.8623452294246,11,7,17,4.89518291575391
15,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","16W","Winter","16","Out",FALSE,25.9749049429658,21,15,41,14.9761904353781
6,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","17S","Summer","17","In",FALSE,11.7172187243362,10,7,17,6.10130089871759
13,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","17S","Summer","17","Out",FALSE,20.4965574221977,19,14,28,7.70302267900901
9,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","17W","Winter","17","In",FALSE,12.5225483178239,11,7,18,6.68898400121223
24,"CYYZ","YYZ","Toronto Intl/L.B. PE",NA,"xlsx","17W","Winter","17","Out",FALSE,25.5897810218978,21,15,44,12.3808995701754
4,"DAAG","ALG","Alger",NA,"pdf","10S","Summer","10","In",FALSE,6,5,4,8,2
7,"DAAG","ALG","Alger",NA,"pdf","10S","Summer","10","Out",FALSE,11,10,8,15,3
6,"DAAG","ALG","Alger",NA,"pdf","10W","Winter","10","In",FALSE,6,5,4,8,2
8,"DAAG","ALG","Alger",NA,"pdf","10W","Winter","10","Out",FALSE,10,10,8,14,3
1,"DAAG","ALG","Alger",NA,"pdf","11S","Summer","11","Out",FALSE,10,10,5,13,3
5,"DAAG","ALG","Alger",NA,"pdf","11S","Summer","11","In",FALSE,5,5,4,8,2
2,"DAAG","ALG","Alger",NA,"pdf","11W","Winter","11","In",FALSE,6,5,4,8,2
3,"DAAG","ALG","Alger",NA,"pdf","11W","Winter","11","Out",FALSE,9,9,5,12,3
9,"DAAG","ALG","Alger",NA,"pdf","12S","Summer","12","In",FALSE,6,5,4,8,2
13,"DAAG","ALG","Alger",NA,"pdf","12S","Summer","12","Out",FALSE,10,10,5,15,4
11,"DAAG","ALG","Alger",NA,"pdf","12W","Winter","12","In",FALSE,6,5,5,8,2
15,"DAAG","ALG","Alger",NA,"pdf","12W","Winter","12","Out",FALSE,10,9,5,14,4
10,"DAAG","ALG","Alger",NA,"pdf","13S","Summer","13","In",FALSE,6,5,4,8,2
14,"DAAG","ALG","Alger",NA,"pdf","13S","Summer","13","Out",FALSE,10,10,5,14,4
12,"DAAG","ALG","Alger",NA,"pdf","13W","Winter","13","In",FALSE,6,5,5,9,2
16,"DAAG","ALG","Alger",NA,"pdf","13W","Winter","13","Out",FALSE,9,9,5,13,3
1,"DAAG","ALG","Alger",NA,"xlsx","14S","Summer","14","In",FALSE,6.02383456011216,6,4,9,2.20180813509809
2,"DAAG","ALG","Alger",NA,"xlsx","14S","Summer","14","Out",FALSE,10.7648705388383,10,8,14,3.34264210072593
10,"DAAG","ALG","Alger",NA,"xlsx","14W","Winter","14","In",FALSE,6.55870020964361,6,4,9,2.58230288483958
23,"DAAG","ALG","Alger",NA,"xlsx","14W","Winter","14","Out",FALSE,12.0235546038544,11,8,17,4.31555051148241
4,"DAAG","ALG","Alger",NA,"xlsx","15S","Summer","15","In",FALSE,6.05722891566265,6,4,9,2.41668773256422
11,"DAAG","ALG","Alger",NA,"xlsx","15S","Summer","15","Out",FALSE,11.7834070044203,11,8,16,3.74497533037367
7,"DAAG","ALG","Alger",NA,"xlsx","15W","Winter","15","In",FALSE,6.49764150943396,6,4,9,2.50436035108233
14,"DAAG","ALG","Alger",NA,"xlsx","15W","Winter","15","Out",FALSE,11.7420878601795,11,8,16,4.36373069107866
5,"DAAG","ALG","Alger",NA,"xlsx","16S","Summer","16","In",FALSE,6.87527284066105,6,5,10,2.83295094985769
12,"DAAG","ALG","Alger",NA,"xlsx","16S","Summer","16","Out",FALSE,12.01240063593,11,8,16,4.02893938110774
8,"DAAG","ALG","Alger",NA,"xlsx","16W","Winter","16","In",FALSE,7.18054837040869,6,5,10,3.24579586487548
15,"DAAG","ALG","Alger",NA,"xlsx","16W","Winter","16","Out",FALSE,11.725622406639,11,9,16,3.78165444673295
6,"DAAG","ALG","Alger",NA,"xlsx","17S","Summer","17","In",FALSE,7.18212765957447,6,5,10,3.70465677909503
13,"DAAG","ALG","Alger",NA,"xlsx","17S","Summer","17","Out",FALSE,12.0235767682576,11,8,16,4.41055505449121
9,"DAAG","ALG","Alger",NA,"xlsx","17W","Winter","17","In",FALSE,7.78940217391304,7,5,11,3.06529693754147
24,"DAAG","ALG","Alger",NA,"xlsx","17W","Winter","17","Out",FALSE,13.2156505914468,12,9,19,5.18777060679776
9,"DABC","CZL","CONSTANTINE/MOHAMMED",NA,"xlsx","17W","Winter","17","In",FALSE,4.74342105263158,4,3,6,1.30965194570603
24,"DABC","CZL","CONSTANTINE/MOHAMMED",NA,"xlsx","17W","Winter","17","Out",FALSE,9.02290076335878,9,5,11,2.5584419803856
